file_name,true_text,whisper_text,whisper_runtime,whisper_wer,wav2vec2_text,wav2vec2_runtime,wav2vec2_wer
common_voice_fa_25369103.mp3,پری کیک را به چند مکعب برید., پریکی ایک را بچن مکهب بودی,2.91,0.857,پریکیک را به چند مک ابرید,0.78,0.571
common_voice_fa_19922924.mp3,یک میز دو نفره، لطفاً., یک میز دونفره لطفا,2.63,0.6,یک میز دو نفره لطفا,0.99,0.4
common_voice_fa_23862054.mp3,یکم چرت و پرت اضافه اش میکنم طبیعی شه, چیر تو پیت از آفش می کنیم تبییی شی.,3.24,1.0,یهکم چرت و پرت اضافش می کنیم طبیعی شه,0.67,0.444
common_voice_fa_30188076.mp3,آدم رذل, آدم رازل,2.19,0.5,آدم رزل,0.61,0.5
common_voice_fa_19024693.mp3,پسر کوچولوی من چطوره؟, از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای اینج,26.31,31.75,انا مم,0.52,1.0
common_voice_fa_18564841.mp3,ولی بزرگ شدی یادت میره, اینجای بایدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدیدی,26.44,1.0,ولی باسربشیدی سارت چیزه,0.91,0.8
common_voice_fa_33143153.mp3,اتوبوس مسافری, او تو بوسمو سفری,2.5,2.0,اتوبوس مسافری,0.88,0.0
common_voice_fa_19209141.mp3,(خنده) فقط، رفتن تو بزرگراه و گشت زدن, ها... فقط رفتن تو بزر را هجشتزدن,3.1,0.75,ها فقط رفتن تو بزرگراهو گشت زدن,1.88,0.5
common_voice_fa_18205303.mp3,من عرضه اين کارو ندارم, من ارزی این کار رو نداره؟,2.78,1.0,من عرضه این کار رو ندارم,1.14,0.6
common_voice_fa_36636184.mp3,محافل, محافل,2.14,0.0,محافل,0.76,0.0
common_voice_fa_21931084.mp3,و خوش نویسان و نقاشان به یادگیری نقاشیخط روی آوردند, و خوشنویسان و نقاشان بیادگیری نقاشی خد روی آوردند.,3.73,0.6,و خوشنویسان و نقاشان به یادگیری نقاشیخت رویآوردند,1.11,0.5
common_voice_fa_20323483.mp3,هیچ گل مینا دارید؟, اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای اینجای از اینجای,26.23,31.5,گوشی سامتاینگ ها همون زم تلویزیو ملتی,2.29,1.75
common_voice_fa_28870547.mp3,این غذا بوی بدی میدهد., این گازو پویه که دیمیته,2.82,0.8,این غذا بوی بدی میده,1.16,0.2
common_voice_fa_19090820.mp3,ذره ذره٬قطره قطره٬ می سوزم اما می مونم, دو,2.05,1.0,داه,1.72,1.0
common_voice_fa_19333145.mp3,من گرسنهام., من گروسنه ها,2.33,1.0,من گرستمه ام,0.84,1.0
common_voice_fa_21804089.mp3,زبان مادری من فارسی است, زبانم مدنینمون فرسی است,2.73,0.8,زبان مداری من فارسی است,0.83,0.2
common_voice_fa_31929101.mp3,ذرات بنیادی اتم, زرات بونیدی هتون,2.54,1.0,ضرات بنیدیتون,0.64,1.0
common_voice_fa_18613332.mp3,انعکاس مثبت دهید و اعتبار ببخشید, این ایک آسی مصبد دهید و اتبال و بخشید,3.27,1.167,ان اکاس مثبت دهید و اعتبار ببخشید,1.1,0.333
common_voice_fa_19228345.mp3,متوجه شد کیسه ای زیر ان سنگ در زمین فرو رفته است, مطوطجه شد کیسهی زیران سنگ در زمین فرو رفت است.,3.63,0.583,متوجه شد کیسهای زیر آن سنگ در زمین فرو رفته است,1.73,0.25
common_voice_fa_23259425.mp3,نویسنده کتاب امپراتور همه بیماریها کیه؟, نوی سنده یه کتاب امپراتور همه بیماری ها که؟,3.53,1.0,نویسنده کتاب امپراتور همه بیماری ها کیه,1.41,0.5
common_voice_fa_18594915.mp3,اما سرآخر، وا دادند, از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از ا,26.31,32.0,ششمذ,1.4,1.0
common_voice_fa_18630897.mp3,و تاثیر خیلی مثبتی روی جان نگذاشت, و تصور خیلی موست با تی روید جان نگاز آشت.,3.41,1.0,و تاثیر خیلی موسب تی روی جان نگذاشت,1.62,0.286
common_voice_fa_23499156.mp3,سهراب پیدا شد, سوره بیدر شد,2.42,0.667,سوراب پیدال شد,0.84,0.667
common_voice_fa_23993053.mp3,گلستان, گولی سرن,2.26,2.0,گلستان,0.76,0.0
common_voice_fa_31049838.mp3,او به طرفداری از انتخابات آزاد سخنرانی کرد., او به ترفداری از اتخابات آزاد صوخمرانی کرد.,3.39,0.375,او به طرفداری از اتخابات آزاد سخنرانی کرد,0.9,0.25
common_voice_fa_30670368.mp3,زندانی جهل خود, زندانی جیر هود,2.53,0.667,زندانی جل خورد,0.74,0.667
common_voice_fa_19216184.mp3,بذار دل خوش باشن مادر بعد هشت ساله که دلم باز شده بذار راحت باشن., بزار دیل خوش باشن، مادر بعد 8 سالی که دیلن پاس شره بزار روحد باشن,4.19,0.733,بذار دل خوش باشن مادر بعد هشت ساله که دلم باز شده بذار راحت باشن,1.31,0.067
common_voice_fa_25739157.mp3,بمبهای آتشزا شهر را دستخوش آتشسوزی گستردهای کرد., بومب حای اتشتر شاہر داشتر شای اتشتر زیاد گستر دیگات,4.62,1.25,بمبهای آدشسا شهر را دستخوش آتشسوزیه گستردهای کرد,1.6,0.375
common_voice_fa_18614343.mp3,از بس هول هولکی رفتیم و اومدیم اصلاً نفهمدیم کی به کیه., از بس هول هولا کلافتی مومازیم اصلا نفره میدیم کی بیکیه,3.84,0.667,از بس هل حلکی رفتیم و اومدیم اصلا نفهم میدیم کی به کیه,1.62,0.5
common_voice_fa_18615034.mp3,به گزارش الجزیره، قطر اعلام کرد که از ابتدای ژانویه از اوپک خارج می شود, بگوزارش ادرزید قتر اعلان کرد که از اتدوی جانمی از اوپیک خارج میشه وقت,4.41,0.667,به گزارش آ رزیده قطب اعلام کرد که از اتدایژان میه از اوپک خارج میشود,1.86,0.467
common_voice_fa_19209861.mp3,دو روز قبل از کریسمس ؟, بیوز دویز پرسیس,2.63,1.0,اون مصتود پش پشتش,1.37,1.0
common_voice_fa_18545950.mp3,خیلی به خودت سخت نگیر., خیلی بیر حوز ساکتنه اینک,3.13,0.8,خیلی به خودت سخت نگیشت,1.29,0.2
common_voice_fa_27073207.mp3,زن جوان و سبکسری که معرفت ندارد., دنی چیوان و سبک سریگی مهالفت ندارد,3.63,0.857,زن جوان و سبگسریک معلفت ندارد,1.07,0.571
common_voice_fa_19249997.mp3,چرا چرند میگی؟ حالت خوش نیست ها, چرا چرا همگی حالت خوش نیستا,2.95,0.571,چرا چرند میگی حالت خوش نیست ها,1.81,0.143
common_voice_fa_19216642.mp3,مردم به او به چشم یک قهرمان می نگرند, مردم به او بچشم یک خحرمان مینگرن,3.22,0.556,مردم به او به چشم یک قهرمان مینگرند,0.97,0.222
common_voice_fa_21589958.mp3,اون گوشه از قلبم که مال هیچکس نیست, هنگوش از قل و ام که ماله هیش کس نیست,3.35,1.0,اون گوشه از قلبم که ماله هیچکس نیست,1.62,0.125
common_voice_fa_20177862.mp3,آیا شما تمبر میفروشید؟, اینجاید,2.34,1.0,آيا چقس خ داری که وچی ا ر,0.76,2.0
common_voice_fa_19207153.mp3,اگه بلایی سر آقای برادر و بابام بیاد, اگر پر رویز تلو گوی پر دار با با بو گویم بیوات,3.88,1.5,اگر بلای سر آقای برادر و بابام بیاد,1.65,0.25
common_voice_fa_18704245.mp3,خلاصه ازادش کرده بودن ولی یه خورده تو مرز نگهش داشتن،بعد فرستادن سر زندگیش., حولا سا عزت اشکر دا بودن ولی خورد تو مرز نگه هشتاشتن بات فرستانا سر زندگیش,4.85,0.857,حلاصا آزادش گرده بودن ولی یه خورده تو مرز نگهش داشتنبعد فرستادن سر زندگیش,1.6,0.357
common_voice_fa_19219219.mp3,صدای فریادها و ضربه های در از بیرون بیشتر و بیشتر می شود, سدای فریاتا و زربهای در از بیغون بیشتر ببیشتر مشاورت,4.42,0.692,صدای فقیاتها و ضربههای در از بیرون بیشتر ا بیشتر میشود,1.7,0.462
common_voice_fa_21582862.mp3,جنبش اقلیتهای جنسی در خاورمیانه و شمال آفریقا, چون بشه اگرلیاتوی جنسی در خوبار میونه و شمون را افریقه,4.55,1.0,جنبش عقلیتهای جنسی در خواورمیانه و شمال افریقا,1.46,0.375
common_voice_fa_30663318.mp3,آنها زندانیان را شکنجه میدهند., آنها زندانیان را شکنجمی دهند.,3.55,0.4,آنها زندانیان را شکنجه میدهند,0.94,0.2
common_voice_fa_18283746.mp3,سپس در گوشه ای قایم شد تا ببیند چه کسی ان را از مسیر برمیدارد, سپس تر گوشهی خایم شد تا ببینت چکسی آن رو از مصیر بر میداره.,4.4,0.8,سپس در گوشهی قایم شد تا ببیند چه کسی آن را از مسیر بر میدارد,2.01,0.333
common_voice_fa_19446941.mp3,آه، نه اصلاُ!, اوه ناس لن,2.54,1.0,اهنه اصلا,0.57,1.0
common_voice_fa_19505712.mp3,من از سو هاضمه رنج می برم., آنسوه ها زمرا این چمی باره,3.09,1.0,من از سوئرهازمه رنج می برم,0.83,0.429
common_voice_fa_23360842.mp3,بهرنگ نُه ساله با دوچرخه وارد می شود و در صحنه میچرخد, بیرن نخ سربادو چرخه وارد میشه برد و در سهنمی چرخه,4.05,0.75,به رنگ نه سلبا دوچرخه وارد میشود و در صحنه میچرخد,2.18,0.5
common_voice_fa_23730400.mp3,این رو باید قبول داشت., این گرو با یادس آبولده شتنه.,3.33,1.0,این رو بایدل عبولی دانشت,1.12,0.6
common_voice_fa_18207007.mp3,ظاهر محصول ما چطوريه؟, زاهر محصول ما چسوریه,2.8,0.5,ظاهر محصول ما چطوریه,1.27,0.25
common_voice_fa_18553595.mp3,مردی در نمایشگاهی گلدان می فروخت, مردی در نموه اشکاهی گولدان میخروخت,3.42,0.667,مردی در نمایشگاهی گلدان می فروخت,0.95,0.0
common_voice_fa_20756568.mp3,او بیوه است., او بیفه ازد,2.61,0.667,او بیوه است,0.57,0.333
common_voice_fa_21438355.mp3,یکی از ارزشهای راهبردی کشور دانمارک مالکیت گرینلند هست, ای که از از از شایر را بودی که شویتان مات مالکیت که جنلان تست,4.81,1.444,یکی از ارزشهای راهبون کشور دان مرک مالتیت گجولند است,1.61,0.667
common_voice_fa_21587619.mp3,بلافاصله شروع به لخته شدن میکند, اینجای از اینجای از اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای اینجای,28.23,15.0,یا نبازایش برون به قخترسی دمان کنم,1.33,1.0
common_voice_fa_19222889.mp3,خوب ساعتم تیز و فلزیه, خوب ساتم تیزو فلزیر,2.84,0.8,خوب ساعتم تیز و فلرزیه,1.06,0.2
common_voice_fa_23996332.mp3,پادشاهی است که وی را به عبرانی «کورش» خواندند, پادشا هیست که ویرا به ابرانی کوروش خندند,3.34,0.778,پادشاهی است که وی را به عبرانی کورش خواندهاند,1.35,0.222
common_voice_fa_19238982.mp3,شبکه نمایش،یه فیلم ایرانی میداد, شباکر نمویش یه فیلمه ایرانی میداد,3.45,0.8,شبکه نمایش یه فیلم ایرانی میداد,1.15,0.4
common_voice_fa_23362694.mp3,به تو چه ربطی داره؟, از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از از,28.28,44.4,اوتو طرق ايزاره,0.88,1.0
common_voice_fa_19591303.mp3,چه ساعتی بیدار شدی؟, چیز سایتی بیداشتیدیم؟,3.25,1.0,چه ساعتی دیگار شدیم,0.77,0.5
